timestamp,latency_ms,jitter_ms,loss_pct,bandwidth_mbps,queue_drops,delta_tx_bytes,delta_rx_bytes,rssi_dbm,server_cpu_pct,server_ram_pct,congestion_state
0,5.073,0.852,0.0,-1.0,0,0,0,-46,14.299999999999997,82.49,MEDIUM
5,5.898,0.172,0.0,-1.0,0,0,0,-46,10.5,82.65,MEDIUM
10,4.961,0.973,0.0,-1.0,0,0,0,-46,18.200000000000003,82.7,MEDIUM
15,4.243,0.287,0.0,-1.0,0,0,0,-46,14.299999999999997,82.91,MEDIUM
20,4.667,0.755,0.0,0.0,0,0,0,-46,20.0,82.96,MEDIUM
25,4.483,0.763,0.0,-1.0,0,0,0,-46,18.200000000000003,82.96,MEDIUM
30,5.634,0.684,0.0,-1.0,0,0,0,-46,9.5,82.96,MEDIUM
35,4.356,1.565,0.0,-1.0,0,0,0,-46,100.0,82.49,HIGH
40,3.176,0.278,0.0,-1.0,0,0,0,-46,80.0,78.74,MEDIUM
45,3.611,0.22,0.0,0.0,0,0,0,-46,52.9,76.55,MEDIUM
50,10.797,7.466,0.0,-1.0,0,0,0,-46,100.0,81.14,HIGH
55,5.131,0.71,0.0,-1.0,0,0,0,-46,28.0,83.95,MEDIUM
60,4.085,0.259,0.0,-1.0,0,0,0,-46,9.5,83.9,MEDIUM
65,4.707,0.212,0.0,-1.0,0,0,0,-46,9.5,83.9,MEDIUM
70,4.554,0.765,0.0,0.0,0,0,0,-46,9.5,83.85,MEDIUM
75,4.212,0.583,0.0,-1.0,0,0,0,-46,13.599999999999994,83.64,MEDIUM
80,3.945,0.056,0.0,-1.0,0,0,0,-46,57.9,83.59,MEDIUM
85,4.218,0.175,0.0,-1.0,0,0,0,-46,9.5,83.59,MEDIUM
90,4.248,0.247,0.0,-1.0,0,0,0,-46,13.599999999999994,83.43,MEDIUM
95,4.658,0.264,0.0,0.0,0,0,0,-46,15.0,83.48,MEDIUM
100,4.694,0.986,0.0,-1.0,0,0,0,-46,9.5,83.59,MEDIUM
105,4.616,0.674,0.0,-1.0,0,0,0,-46,10.0,83.32,MEDIUM
110,4.687,0.843,0.0,-1.0,0,0,0,-46,9.5,83.53,MEDIUM
115,4.92,0.203,0.0,-1.0,0,0,0,-46,5.0,83.53,MEDIUM
120,4.382,0.659,0.0,0.0,0,0,0,-46,9.5,83.74,MEDIUM
125,5.114,0.399,0.0,-1.0,0,0,0,-46,13.599999999999994,83.53,MEDIUM
130,4.201,0.201,0.0,-1.0,0,0,0,-46,9.099999999999994,83.69,MEDIUM
135,4.261,0.128,0.0,-1.0,0,0,0,-46,5.0,83.74,MEDIUM
140,4.1,0.695,0.0,-1.0,0,0,0,-46,28.599999999999994,83.69,MEDIUM
145,4.787,0.954,0.0,0.0,0,0,0,-46,33.3,83.64,MEDIUM
150,3.958,0.734,0.0,-1.0,0,0,0,-46,10.0,83.79,MEDIUM
155,4.525,0.726,0.0,-1.0,0,0,0,-46,14.299999999999997,83.79,MEDIUM
160,4.856,0.905,0.0,-1.0,0,0,0,-46,13.599999999999994,84.0,MEDIUM
165,4.792,1.036,0.0,-1.0,0,0,0,-46,10.0,83.9,MEDIUM
170,4.338,0.749,0.0,0.0,0,0,0,-46,10.0,84.0,MEDIUM
175,4.632,0.14,0.0,-1.0,0,0,0,-46,13.599999999999994,84.11,MEDIUM
180,4.085,0.387,0.0,-1.0,0,0,0,-46,13.599999999999994,84.11,MEDIUM
185,5.002,0.486,0.0,-1.0,0,0,0,-46,18.200000000000003,84.21,MEDIUM
190,4.652,0.341,0.0,-1.0,0,0,0,-46,14.299999999999997,84.21,MEDIUM
195,5.811,0.737,0.0,0.0,0,0,0,-46,14.299999999999997,84.31,MEDIUM
200,4.681,0.68,0.0,-1.0,0,0,0,-46,10.0,84.47,MEDIUM
205,6.917,1.423,0.0,-1.0,0,0,0,-46,66.7,83.48,MEDIUM
210,4.879,0.915,0.0,-1.0,0,0,0,-46,9.5,82.7,MEDIUM
215,4.098,0.797,0.0,-1.0,0,0,0,-46,14.299999999999997,82.7,MEDIUM
220,5.48,0.938,0.0,0.0,0,0,0,-46,9.5,82.7,MEDIUM
225,4.462,0.455,0.0,-1.0,0,0,0,-46,5.0,82.7,MEDIUM
230,4.901,0.416,0.0,-1.0,0,0,0,-46,13.599999999999994,82.7,MEDIUM
235,5.165,0.755,0.0,-1.0,0,0,0,-46,10.0,82.7,MEDIUM
240,4.465,0.437,0.0,-1.0,0,0,0,-46,5.0,82.33,MEDIUM
245,5.269,0.72,0.0,0.0,0,0,0,-46,14.299999999999997,82.44,MEDIUM
250,4.757,0.892,0.0,-1.0,0,0,0,-46,10.0,82.49,MEDIUM
255,5.122,0.846,0.0,-1.0,0,0,0,-46,5.0,82.49,MEDIUM
260,4.269,0.346,0.0,-1.0,0,0,0,-46,9.5,84.73,MEDIUM
265,4.264,0.36,0.0,-1.0,0,0,0,-46,14.299999999999997,84.31,MEDIUM
270,3.86,0.478,0.0,0.0,0,0,0,-46,9.5,84.52,MEDIUM
275,4.305,0.986,0.0,-1.0,0,0,0,-46,10.0,84.52,MEDIUM
